first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
Chickie,Brister,Male,86,12-07-1957,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,0.68,0.85,1.0625,0.903125,1,1,1.71875
Morly,Genery,Male,69,22-03-1970,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,0.58,0.58,0.725,0.61625,1,1,1.71875
Ardelis,Forrester,Female,10,28-08-1974,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,0.72,0.72,0.72,0.72,1,1,1.71875
Lucine,Stutt,Female,64,28-01-1979,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,0.92,1.15,1.15,1.15,4,4,1.703125
Melinda,Hadlee,Female,34,21-09-1965,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,0.47,0.47,0.5875,0.5875,4,4,1.703125
Druci,Brandli,Female,39,29-04-1951,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,0.62,0.775,0.775,0.775,6,6,1.671875
Rutledge,Hallt,Male,23,06-10-1976,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,0.7,0.7,0.7,0.595,6,6,1.671875
Nancie,Vian,Female,74,27-12-1972,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,0.52,0.65,0.65,0.5525,8,8,1.65625
Duff,Karlowicz,Male,50,28-04-1972,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,0.67,0.8375,1.046875,0.88984375,8,8,1.65625
Barthel,Docket,Male,72,02-08-1985,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,0.86,1.075,1.075,0.91375,10,10,1.640625
Rockwell,Matson,Male,94,01-01-1995,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,0.7,0.7,0.875,0.875,10,10,1.640625
Wheeler,Winward,Male,48,30-08-1999,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,0.86,0.86,0.86,0.731,12,12,1.625
Olag,,Male,60,13-05-1990,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,0.56,0.56,0.7,0.595,13,13,1.609375
Melba,Spellacy,Female,38,09-12-1976,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,0.86,0.86,1.075,0.91375,14,14,1.59375
Mandie,Feares,Female,32,19-04-1964,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,0.41,0.41,0.41,0.3485,14,14,1.59375
Dukie,Swire,Male,88,31-03-1954,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,0.86,1.075,1.34375,1.34375,16,16,1.5625
Marcelia,Monkleigh,Female,61,22-08-1993,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,1.02,1.275,1.275,1.08375,17,17,1.546875
Winnifred,Beswetherick,Female,83,08-06-1976,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,1.07,1.07,1.3375,1.136875,17,17,1.546875
Odilia,Quick,Female,65,09-11-1938,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,1.07,1.3375,1.671875,1.671875,19,19,1.53125
Karly,Willavize,Female,2,12-08-1954,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,0.65,0.65,0.8125,0.8125,19,19,1.53125
Teddie,Burchill,Male,11,21-12-1968,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,0.6,0.75,0.9375,0.796875,21,21,1.515625
Gaston,Dallaghan,Male,44,29-09-1993,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,0.81,1.0125,1.0125,0.860625,21,21,1.515625
Otis,Ottey,Male,26,05-02-1998,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,0.9,0.9,0.9,0.765,23,23,1.5
Tabbatha,Averill,Female,5,17-12-1977,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,1.01,1.2625,1.2625,1.2625,23,23,1.5
Brena,Schnitter,Female,78,11-10-1982,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,0.53,0.53,0.53,0.4505,25,25,1.484375
Rourke,Gillbard,Male,11,03-08-1945,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,0.88,0.88,0.88,0.748,26,26,1.46875
Dyane,Burwell,Female,19,27-06-1952,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,0.74,0.925,0.925,0.78625,26,26,1.46875
Claudine,Barstowk,Female,71,20-07-1966,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,0.57,0.7125,0.890625,0.890625,26,26,1.46875
Blinnie,Roze,Female,84,10-12-1960,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,0.68,0.68,0.85,0.85,26,26,1.46875
Rhona,De Freyne,Female,45,22-11-1960,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,0.79,0.79,0.9875,0.9875,30,30,1.4609375
Sharron,Claibourn,Female,62,26-01-1980,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,0.85,1.0625,1.0625,1.0625,30,30,1.4609375
Brien,Heaton,Male,70,28-11-1951,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,0.76,0.95,0.95,0.8075,32,32,1.453125
Sybilla,MacCart,Female,88,15-01-1987,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,0.77,0.9625,1.203125,1.02265625,32,32,1.453125
Mikel,McNess,Male,71,22-09-1981,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,0.78,0.78,0.975,0.82875,32,32,1.453125
Maisie,Maddox,Female,27,09-05-1977,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,0.72,0.72,0.9,0.9,32,32,1.453125
Arleen,Casbolt,Female,48,10-05-1975,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,0.53,0.6625,0.6625,0.6625,36,36,1.44765625
Farlie,Petford,Male,76,25-03-1968,Recruiting Manager,n/a,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,0.44,0.44,0.55,0.55,36,36,1.44765625
Mitchell,MacCague,Male,58,11-04-1979,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,0.96,0.96,0.96,0.816,38,38,1.4375
Garik,Whitwell,Male,44,13-06-1955,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,0.89,1.1125,1.1125,0.945625,38,38,1.4375
Antonin,Britt,Male,64,28-08-1993,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.5,0.625,0.78125,0.78125,40,40,1.434375
Vinny,Incogna,Female,73,13-02-1953,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,0.57,0.57,0.57,0.57,40,40,1.434375
Colene,Fishleigh,Female,24,14-03-1985,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,0.78,0.78,0.975,0.82875,42,42,1.421875
Neile,Argent,Female,79,25-10-1946,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,1.09,1.09,1.3625,1.158125,42,42,1.421875
Corinna,Suggey,Female,52,18-09-1966,Design Engineer,n/a,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.83,0.83,0.83,0.83,44,44,1.42109375
Brooke,Arling,Male,76,05-12-1961,,n/a,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,0.52,0.52,0.52,0.52,44,44,1.42109375
Gipsy,Ewestace,Female,29,30-08-1956,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,0.71,0.8875,1.109375,1.109375,46,46,1.4078125
Sheena,Kybbye,Female,14,16-07-1956,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,0.52,0.65,0.65,0.65,46,46,1.4078125
Jobina,Gobourn,Female,85,04-12-1994,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.46,0.575,0.71875,0.71875,46,46,1.4078125
Gale,Disbrow,Female,59,14-05-1977,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,0.97,1.2125,1.2125,1.030625,46,46,1.4078125
Thaxter,Kingsbury,Male,12,03-05-1950,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,0.61,0.61,0.7625,0.648125,50,50,1.40625
Heinrick,Shilstone,Male,60,11-02-1978,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,0.85,0.85,0.85,0.85,50,50,1.40625
Taylor,Steuhlmeyer,Male,62,22-03-1999,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,0.42,0.525,0.525,0.525,52,52,1.39453125
